nID,Name,catID,RAJ2000,DEJ2000,CHB,12+logOHPG16S,12+logOHPG16R,12+logOHN2,12+logOHO3N2,12+logOHIZI,IZIchi2,12+logOHKK04,12+logOHT04,logNOPG16,r/r25,r/app,Ref
8448,NGC5668,38,218.3523278,4.446125,0.0,8.423177,8.363939,8.549661,8.660966,8.83157,0.119854,8.797814,8.922708,-1.16103764,0.27758859281553,0.0723011877825669,Pilyu14(Marino_2012arXiv1205.5051M)
8449,NGC5668,34,218.3516312,4.4659861,0.0,8.2474,8.115057,8.355761,8.434933,8.29755,0.116362,8.428783,8.66403,-1.45738198,0.989809746677241,0.25780749719454,Pilyu14(Marino_2012arXiv1205.5051M)
8450,NGC5668,4,218.3368923,4.4576528,0.0,8.279855,8.228561,8.391318,8.528302,8.26519,0.0848584,8.777217,8.772489,-1.28300278,1.07433473861128,0.279823017544845,Pilyu14(Marino_2012arXiv1205.5051M)
8451,NGC5668,51,218.3570643,4.4575417,0.0,8.372314,8.335989,8.473421,8.517636,8.39464,0.0767704,8.727527,8.760361,-1.21884138,0.588941115939269,0.153396585156857,Pilyu14(Marino_2012arXiv1205.5051M)
8452,NGC5668,21,218.3456409,4.4529028,0.0,8.440946,8.310207,8.488755,8.54608,8.76684,0.0931636,8.642172,8.792619,-1.26227682,0.411675740006225,0.107225749739281,Pilyu14(Marino_2012arXiv1205.5051M)
8453,NGC5668,42,218.3527457,4.4604306,0.0,8.38613,8.302863,8.519339,8.568035,8.41083,0.0800231,8.515339,8.817385,-1.29702201,0.643545750050385,0.167618999214375,Pilyu14(Marino_2012arXiv1205.5051M)
8520,NGC5713,64772,220.04517,-0.2931,0.931765,,,8.607977,8.676444,8.83157,0.0494434,,8.940583,,0.24040073244583,0.117123484668086,DV17
8454,NGC5668,56,218.3606863,4.4529306,0.0,8.147315,8.24535,8.300203,8.51613,8.16809,0.0960293,9.011266,8.758645,-1.17571798,0.644078407650562,0.16775773610116,Pilyu14(Marino_2012arXiv1205.5051M)
8455,NGC5668,59,218.3640019,4.454125,0.0,8.179105,8.004625,8.337981,8.411958,8.31373,0.206348,8.056542,8.636217,-1.58977812,0.874558148012685,0.227788873616501,Pilyu14(Marino_2012arXiv1205.5051M)
8456,NGC5668,11,218.3416845,4.4594028,0.0,8.207875,8.175878,8.355761,8.377522,8.36228,0.274491,8.460162,8.593352,-1.41102919,0.869933534793226,0.226584339145504,Pilyu14(Marino_2012arXiv1205.5051M)
8457,NGC5668,45,218.3535816,4.4529306,0.0,8.416777,8.25617,8.592789,8.707093,8.81539,0.112165,8.258988,8.976491,-1.34442609,0.222599238996905,0.0579785689884851,Pilyu14(Marino_2012arXiv1205.5051M)
8458,NGC5668,10,218.3407651,4.4557083,0.0,8.344644,8.253643,8.407959,8.461997,8.32992,0.0808697,8.644761,8.696118,-1.30761308,0.785440125987038,0.204577044989346,Pilyu14(Marino_2012arXiv1205.5051M)
8459,NGC5668,26,218.3476191,4.4512361,0.0,8.42032,8.435945,8.621403,8.695126,8.44319,0.0883141,8.848631,8.962381,-1.08584815,0.249979572868034,0.065110096407126,Pilyu14(Marino_2012arXiv1205.5051M)
8460,NGC5668,31,218.3498202,4.4402917,0.0,8.367105,8.324445,8.42488,8.480634,8.32992,0.0838583,8.801624,8.717858,-1.20009718,0.639119441670445,0.166466115552566,Pilyu14(Marino_2012arXiv1205.5051M)
