Name,mtot,re,n,q,PA,Her,map,logLum,logMass,i,T,e_T,SimbadName
NGC5023,12.31,67.4,0.92,0.14,28.1,*,12.61,7.59,8.81,90.0,6.0,0.5,NGC5023
NGC5010,11.66,7.82,1.36,0.3,-58.4,*,11.67,9.59,10.8,75.8,-1.0,1.1,NGC5010
NGC5033,9.47,36.38,3.32,0.42,-8.8,,9.52,9.53,10.74,58.4,5.0,0.8,NGC5033
NGC5055,7.87,113.62,2.74,0.58,-81.9,*,7.96,9.73,10.94,57.0,4.0,0.2,NGC5055
UGC08333,15.34,32.0,0.88,0.31,29.2,,15.39,7.51,8.72,76.5,9.6,1.0,UGC08333
NGC5103,11.98,10.04,3.2,0.44,-40.2,,12.0,9.0,10.22,90.0,-2.0,1.4,NGC5103
UGC08412,15.31,16.76,0.92,0.42,74.6,,15.37,7.07,8.29,66.0,6.1,0.7,UGC08412
NGC5116,12.46,22.54,0.6,0.3,40.9,*,12.48,9.25,10.46,67.5,4.9,1.1,NGC5116
NGC5117,13.71,24.68,1.39,0.38,-25.6,*,13.82,8.53,9.74,58.0,5.8,0.6,NGC5117
NGC5119,12.18,10.89,2.83,0.26,20.5,,12.27,9.36,10.57,79.6,-2.0,1.2,NGC5119
NGC5122,12.61,6.94,2.79,0.4,-60.8,,12.66,9.18,10.39,90.0,-1.5,1.5,NGC5122
PGC046875,15.16,15.72,1.16,0.78,33.4,,15.21,8.15,9.36,39.5,9.0,5.0,PGC046875
NGC5145,11.69,6.97,2.06,0.61,81.0,*,11.72,9.76,10.97,41.1,0.0,2.4,NGC5145
NGC5128,5.55,257.58,4.3,0.95,27.8,,5.75,9.83,11.05,18.5,-2.1,0.6,NGC5128
NGC5147,12.1,23.99,0.56,0.83,-61.8,*,12.12,8.82,10.03,35.6,7.9,0.6,NGC5147
NGC5194,7.67,140.8,3.08,0.89,12.4,,7.81,9.74,10.96,33.2,4.0,0.3,NGC5194
NGC5195,8.31,103.61,8.12,0.94,-38.6,,8.59,9.33,10.54,41.4,0.6,3.8,NGC5195
NGC5240,12.77,23.09,0.75,0.66,56.2,*,12.82,9.13,10.34,47.6,5.7,0.5,NGC5240
IC0902,12.53,21.67,2.51,0.17,-19.8,*,12.62,8.84,10.05,90.0,3.1,0.5,IC0902
NGC5236,6.51,620.46,8.21,0.77,50.5,,7.18,9.51,10.72,19.4,5.0,0.3,NGC5236
NGC5248,9.55,61.09,3.97,0.65,-57.1,*,9.72,9.27,10.48,39.0,4.0,0.3,NGC5248
UGC08630,13.59,31.05,1.91,0.17,-88.4,*,13.71,8.44,9.65,82.7,6.6,2.9,UGC08630
UGC08662,15.06,21.39,0.47,0.15,73.6,,15.07,8.07,9.28,90.0,6.0,0.6,UGC08662
NGC5273,11.0,34.18,3.13,0.85,7.4,,11.16,9.0,10.21,31.4,-1.9,0.5,NGC5273
UGC08693,13.72,16.77,1.14,0.29,-9.1,*,13.77,8.72,9.94,74.0,4.2,1.1,UGC08693
NGC5290,10.8,28.72,3.53,0.18,-85.2,,10.94,9.66,10.87,90.0,4.0,0.4,NGC5290
NGC5301,11.32,45.8,1.15,0.2,-29.5,*,11.45,9.06,10.27,81.0,4.6,0.9,NGC5301
NGC5300,11.61,49.18,0.95,0.66,-34.6,*,11.68,8.86,10.07,50.4,5.3,0.5,NGC5300
UGC08756,12.88,8.1,2.33,0.35,86.8,,12.94,8.79,10.01,72.2,1.2,1.1,UGC08756
NGC5334,11.57,55.7,1.01,0.72,17.5,*,11.66,9.36,10.58,40.9,5.3,0.7,NGC5334
NGC5347,11.11,101.3,18.14,0.61,-75.1,*,11.86,9.13,10.34,23.1,2.0,0.3,NGC5347
NGC5350,11.12,26.87,1.26,0.95,25.9,,11.23,9.39,10.61,51.0,3.6,0.6,NGC5350
NGC5338,12.79,24.2,3.32,0.52,-78.5,,12.96,8.02,9.24,63.1,-2.0,0.5,NGC5338
NGC5353,10.39,14.75,2.33,0.44,-36.7,,10.42,9.78,10.99,66.2,-2.1,0.9,NGC5353
NGC5354,10.02,81.95,8.12,0.89,-88.9,,10.98,9.59,10.8,27.7,-2.1,0.7,NGC5354
NGC5355,12.92,8.17,2.85,0.69,20.4,,12.98,8.96,10.17,58.3,-2.0,1.0,NGC5355
NGC5358,13.4,8.99,3.0,0.35,-39.8,,13.47,8.83,10.04,72.0,-0.4,0.8,NGC5358
NGC5348,13.0,41.32,1.67,0.16,-2.5,*,13.21,8.12,9.34,84.9,3.8,0.7,NGC5348
NGC5356,11.82,39.46,0.73,0.19,15.3,*,11.88,8.83,10.04,82.6,3.8,0.6,NGC5356
NGC5360,13.42,27.69,1.54,0.36,66.6,,13.49,8.32,9.54,90.0,0.1,1.0,NGC5360
NGC5363,9.11,49.25,5.92,0.75,-48.3,,9.25,10.8,12.01,42.1,0.1,2.6,NGC5363
NGC5364,10.23,74.37,1.69,0.66,38.6,*,10.32,9.26,10.47,48.3,4.0,0.2,NGC5364
UGC08857,14.36,12.35,2.55,0.24,-53.0,,14.45,7.8,9.01,79.5,1.0,0.4,UGC08857
NGC5398,12.45,32.37,1.16,0.9,10.8,*,12.55,7.84,9.05,26.1,7.9,0.8,NGC5398
NGC5457,7.96,223.69,1.81,0.88,55.8,*,8.07,9.48,10.69,21.9,5.9,0.3,NGC5457
NGC5408,12.51,52.68,0.95,0.41,70.6,,12.61,7.41,8.62,69.4,9.9,0.5,NGC5408
NGC5426,11.77,21.67,2.27,0.47,-3.2,,11.91,9.43,10.64,60.7,5.0,0.5,NGC5426
NGC5427,10.82,36.3,2.11,0.93,81.0,,11.11,9.46,10.68,25.4,5.0,0.5,NGC5427
NGC5474,11.25,74.43,1.93,0.62,42.5,,11.33,8.14,9.36,35.2,6.1,0.6,NGC5474
NGC5477,14.36,28.74,0.87,0.64,77.3,,14.39,6.9,8.12,45.0,8.9,0.6,NGC5477
NGC5480,11.82,20.97,1.26,0.72,13.7,*,11.84,9.18,10.39,37.9,4.9,0.5,NGC5480
SDSSJ140638.13+545947.6,15.31,28.89,1.38,0.4,7.1,,15.34,7.85,9.06,68.7,9.0,2.0,SDSSJ140638.13+545947.4
NGC5481,11.57,28.43,5.87,0.78,-74.0,,11.9,9.22,10.43,45.3,-3.9,1.0,NGC5481
NGC5485,10.56,33.43,4.31,0.79,-6.3,,10.68,9.55,10.76,38.6,-2.0,0.6,NGC5485
NGC5486,13.71,19.02,1.39,0.71,68.6,*,13.8,8.55,9.76,50.6,8.7,0.6,NGC5486
IC0976,12.79,16.34,3.31,0.38,-7.3,,12.92,8.66,9.87,70.2,-1.4,0.9,IC0976
NGC5496,12.52,53.72,1.46,0.17,-7.7,*,12.76,8.6,9.82,81.6,6.5,0.7,NGC5496
ESO097-013,7.05,119.25,6.31,0.55,34.6,,7.36,9.3,10.52,57.5,3.3,1.2,ESO097-013
NGC5506,10.6,17.88,8.65,0.24,85.3,,10.14,9.7,10.91,79.4,1.2,1.1,NGC5506
NGC5507,11.66,10.04,4.09,0.61,60.6,,11.77,9.36,10.58,60.9,-2.3,0.7,NGC5507
NGC5529,10.96,46.15,1.22,0.11,-65.1,*,11.13,9.84,11.06,90.0,5.1,0.8,NGC5529
NGC5560,11.92,20.35,1.02,0.29,-71.5,*,11.93,8.86,10.07,68.2,3.1,0.4,NGC5560
NGC5566,9.86,28.2,4.3,0.68,18.7,*,10.04,9.59,10.8,70.2,1.6,0.7,NGC5566
NGC5569,13.2,51.97,2.34,0.59,59.4,,13.58,8.05,9.26,48.2,6.0,0.8,NGC5569
NGC5582,10.83,64.24,8.94,0.62,29.1,,11.24,9.4,10.62,53.6,-4.8,0.6,NGC5582
NGC5574,12.09,12.61,1.8,0.46,61.7,,12.16,8.88,10.1,62.0,-2.7,0.8,NGC5574
NGC5576,10.05,36.46,7.68,0.7,86.6,,10.26,9.7,10.91,40.9,-4.9,0.4,NGC5576
NGC5577,12.17,40.82,1.15,0.26,55.0,*,12.31,8.64,9.86,75.2,3.8,0.6,NGC5577
NGC5584,11.79,48.83,1.43,0.74,-34.8,*,11.89,9.14,10.36,44.0,5.9,0.3,NGC5584
UGC09242,13.84,68.3,0.87,0.08,71.2,,14.44,8.0,9.21,90.0,6.7,0.7,UGC09242
UGC09299,14.21,21.55,1.3,0.5,82.3,,14.26,8.23,9.44,64.2,6.5,1.2,UGC09299
NGC5636,12.95,23.24,0.87,0.64,58.4,*,13.01,8.74,9.95,25.6,-0.3,1.0,NGC5636
NGC5638,10.61,23.53,3.78,0.88,-24.8,,10.82,9.5,10.72,29.2,-4.8,0.4,NGC5638
UGC09310,14.12,30.55,1.06,0.29,-13.5,,14.2,8.28,9.49,72.2,8.1,0.7,UGC09310
NGC5667,13.06,20.57,1.2,0.43,0.0,,13.11,8.81,10.02,62.4,6.2,1.0,NGC5667
NGC5645,12.08,25.71,1.56,0.65,83.5,*,12.14,8.49,9.7,51.6,6.6,0.9,NGC5645
NGC5658,13.57,18.14,1.15,0.2,-61.9,*,13.9,8.17,9.38,90.0,-0.9,2.8,NGC5658
NGC5669,12.01,43.2,2.04,0.7,47.5,*,12.13,8.48,9.69,42.5,6.0,0.4,NGC5669
NGC5668,11.74,38.28,1.76,0.87,-24.8,*,11.78,9.15,10.36,31.8,6.9,0.4,NGC5668
NGC5689,10.92,18.78,3.83,0.36,87.5,,11.05,9.68,10.89,77.5,0.4,0.6,NGC5689
UGC09392,16.47,23.17,0.45,0.23,-38.5,,16.77,7.25,8.46,90.0,10.0,0.5,UGC09392
NGC5693,13.2,20.8,1.15,0.92,72.9,,13.26,8.87,10.08,22.8,6.9,0.3,NGC5693
UGC09426,15.75,18.91,1.45,0.77,27.1,,15.83,7.8,9.02,40.8,9.7,0.6,UGC09426
NGC5690,11.22,33.67,1.08,0.23,-38.6,*,11.28,9.07,10.28,77.7,5.2,0.8,NGC5690
NGC5691,12.19,17.85,1.12,0.64,-82.5,*,12.19,9.08,10.3,41.2,1.2,0.7,NGC5691
NGC5701,10.54,33.85,3.49,0.68,0.2,*,10.61,9.59,10.8,15.4,-0.3,0.9,NGC5701
NGC5705,12.92,39.56,1.33,0.57,56.7,*,13.05,8.42,9.63,55.8,6.6,1.1,NGC5705
NGC5713,10.73,18.99,1.72,0.78,-82.7,*,10.72,8.99,10.2,28.6,4.0,0.3,NGC5713
NGC5719,10.6,16.97,4.56,0.36,-81.2,*,10.76,9.54,10.75,71.1,2.3,0.6,NGC5719
UGC09470,14.78,19.73,0.65,0.51,50.8,,14.84,8.05,9.27,59.5,8.0,0.9,UGC09470
NGC5728,10.24,56.9,5.71,0.46,30.8,*,10.63,9.64,10.85,43.6,1.2,0.7,NGC5728
UGC09482,15.24,18.44,0.91,0.17,65.2,,15.41,8.03,9.24,90.0,6.6,0.7,UGC09482
NGC5740,11.3,24.56,2.34,0.52,-25.6,*,11.42,9.37,10.58,59.1,3.0,0.4,NGC5740
NGC5746,9.46,59.17,1.9,0.21,-10.2,*,9.95,9.88,11.1,90.0,3.0,0.4,NGC5746
NGC5750,10.98,28.53,1.75,0.67,71.8,*,11.06,9.52,10.73,61.6,0.4,0.8,NGC5750
NGC5777,11.55,18.14,5.69,0.19,-36.5,,11.72,9.58,10.79,90.0,3.2,0.7,NGC5777
NGC5866,9.35,34.33,2.85,0.36,-54.1,*,9.38,9.57,10.78,71.6,-1.3,0.6,NGC5866
NGC5850,10.11,98.37,7.76,0.75,-60.6,,10.57,9.38,10.59,36.4,3.1,0.3,NGC5850
NGC5899,10.95,29.48,1.87,0.39,23.1,,11.04,9.84,11.06,68.1,5.2,0.7,NGC5899
NGC5907,9.17,97.17,1.15,0.09,-25.0,*,9.55,9.65,10.87,90.0,5.2,0.7,NGC5907
NGC5953,11.43,7.18,4.81,0.72,46.1,,11.5,9.27,10.48,20.8,0.1,1.6,NGC5953
NGC5954,12.43,12.95,1.13,0.48,4.6,,12.47,9.03,10.24,52.4,5.9,0.5,NGC5954
NGC6143,13.07,13.91,0.83,0.8,-2.4,*,13.08,9.56,10.77,37.3,4.0,0.5,NGC6143
NGC6221,9.33,53.62,4.02,0.78,-35.9,,9.54,9.27,10.49,39.1,4.9,0.5,NGC6221
NGC6300,9.09,80.8,3.38,0.69,-77.7,,9.31,9.34,10.55,47.0,3.1,0.6,NGC6300
UGC10854,15.36,15.52,1.0,0.42,81.7,,15.43,8.22,9.43,65.5,6.0,0.4,UGC10854
NGC6673,10.72,17.71,4.5,0.46,24.0,,10.87,8.72,9.93,65.3,-3.8,0.8,NGC6673
NGC6703,10.18,37.0,6.62,0.99,17.3,,10.41,9.68,10.89,8.3,-2.8,0.6,NGC6703
NGC6798,11.77,17.28,3.66,0.5,-32.5,,11.9,9.39,10.6,61.9,-1.9,0.6,NGC6798
NGC6814,9.81,48.36,3.41,0.95,17.0,,10.01,9.71,10.93,18.4,4.0,0.1,NGC6814
NGC6822,8.39,281.63,0.73,0.79,11.9,,8.41,6.97,8.18,38.9,9.8,0.4,NGC6822
NGC6946,7.67,179.37,2.23,0.82,56.0,*,7.88,9.5,10.72,35.2,5.9,0.3,NGC6946
PGC065367,15.77,31.35,2.4,0.66,-79.5,,,,,43.2,9.9,0.6,PGC065367
NGC7090,10.54,86.45,1.19,0.16,-51.9,*,10.82,8.63,9.84,90.0,5.0,0.5,NGC7090
NGC7172,10.14,20.29,12.56,0.52,-80.9,,10.44,9.88,11.1,60.0,0.6,1.2,NGC7172
NGC7213,8.9,68.91,8.3,0.99,-66.7,,9.15,10.3,11.51,8.2,0.9,0.7,NGC7213
ESO289-020,15.51,21.62,1.63,0.23,-32.8,,15.3,7.09,8.3,78.9,4.6,2.2,ESO289-020
ESO405-014,16.37,17.67,0.45,0.17,-18.5,,16.61,7.49,8.7,82.9,6.1,2.4,ESO405-014
PGC166755,12.29,30.03,1.0,0.64,-43.0,,12.38,9.05,10.26,50.8,5.0,2.0,PGC166755
NGC7314,10.59,50.35,0.85,0.37,-0.3,,10.62,9.15,10.36,68.1,4.0,0.2,NGC7314
NGC7320,12.89,24.82,0.69,0.54,-50.1,*,13.09,8.08,9.3,57.9,6.5,0.9,NGC7320
NGC7331,8.44,54.93,2.27,0.37,-14.7,*,8.49,9.93,11.14,69.6,3.9,0.3,NGC7331
UGC12160,11.93,22.07,1.13,0.63,9.4,,11.97,9.03,10.24,51.5,5.8,0.5,UGC12160
ESO603-031,14.16,12.72,1.45,0.5,-69.9,,14.21,8.42,9.63,60.3,1.0,1.8,ESO603-031
ESO406-031,13.6,17.21,0.95,0.2,10.6,,13.64,8.25,9.46,82.2,2.2,2.6,ESO406-031
IC5270,11.85,25.0,1.22,0.27,-74.7,,11.9,9.02,10.24,75.0,5.7,0.9,IC5270
UGC12313,15.12,40.44,2.25,0.19,-64.2,,15.34,7.79,9.0,84.9,9.8,0.5,UGC12313
NGC7463,12.59,15.28,1.18,0.41,88.0,*,12.69,8.64,9.85,67.7,3.1,0.5,NGC7463
NGC7465,11.84,4.8,5.39,0.56,-26.1,*,11.9,9.11,10.32,43.8,-1.8,0.5,NGC7465
ESO407-002,12.96,8.55,1.14,0.58,-59.4,,12.98,8.57,9.78,55.8,-0.5,1.3,ESO407-002
NGC7552,9.71,21.01,5.54,0.45,-83.2,,9.79,10.0,11.21,16.0,2.4,0.7,NGC7552
NGC7582,8.95,159.51,20.0,0.3,-24.2,,9.58,9.73,10.94,63.8,2.1,0.5,NGC7582
NGC7625,11.3,11.33,1.61,0.77,36.0,,11.34,9.19,10.4,12.7,1.0,1.1,NGC7625
NGC7667,14.89,19.65,1.22,0.6,56.3,,14.94,7.52,8.74,65.2,8.7,1.4,NGC7667
ESO407-018,13.98,45.61,0.82,0.79,-22.6,,14.02,6.09,7.3,26.7,9.8,0.6,ESO407-018
ESO240-004,15.67,23.28,0.75,0.23,-38.3,,15.66,7.36,8.58,90.0,6.7,0.8,ESO240-004
NGC7690,11.87,10.96,3.0,0.46,-49.2,,11.95,8.88,10.09,62.3,2.9,0.6,NGC7690
NGC7694,13.28,15.48,1.64,0.57,85.0,,13.3,7.98,9.19,67.8,10.0,0.5,NGC7694
NGC7689,11.47,34.9,1.0,0.67,-60.7,,11.54,9.16,10.37,49.6,5.9,0.3,NGC7689
IC5334,12.4,12.54,5.42,0.32,-53.3,,12.54,9.3,10.51,70.2,3.5,1.2,IC5334
UGC12690,15.6,25.23,1.37,0.7,-49.3,,21.81,5.34,6.56,46.6,9.1,0.5,UGC12690
NGC7710,13.21,6.35,3.43,0.29,-44.6,,13.25,8.74,9.96,76.9,-1.6,1.3,NGC7710
NGC7714,11.88,9.87,5.19,0.63,-14.8,,12.0,9.18,10.39,58.1,3.1,0.7,NGC7714
NGC7715,14.0,43.26,5.0,0.29,72.8,,,,,78.2,9.6,1.4,NGC7715
NGC7716,11.55,22.61,5.28,0.77,27.5,,11.86,9.36,10.58,32.0,3.0,0.5,NGC7716
UGC12709,14.22,36.77,1.24,0.67,-39.0,,14.36,8.35,9.56,50.2,8.5,1.0,UGC12709
NGC7721,11.09,41.39,1.28,0.37,16.0,,11.23,9.51,10.73,71.0,4.9,0.5,NGC7721
PGC072006,15.01,24.52,0.7,0.35,51.2,,14.99,7.98,9.19,72.1,9.0,0.5,PGC072006
ESO471-006,14.05,57.49,0.85,0.25,46.5,,14.29,6.56,7.78,74.1,8.6,1.0,ESO471-006
ESO149-001,13.25,42.89,1.07,0.26,28.8,,13.39,8.28,9.5,78.0,8.0,0.4,ESO149-001
NGC7755,10.91,47.23,5.81,0.8,-54.2,*,11.23,9.46,10.67,53.7,5.0,0.5,NGC7755
NGC7757,12.69,27.68,1.55,0.82,-42.3,,12.78,8.29,9.5,51.6,5.3,0.6,NGC7757
NGC7764,12.47,22.08,0.91,0.68,-8.7,,12.48,8.63,9.84,50.1,9.4,0.7,NGC7764
NGC7793,9.15,121.12,1.13,0.66,-80.0,,9.24,8.45,9.66,52.8,7.4,0.6,NGC7793
