galaxy,split,role,n_points,rmse_v6,rmse_mond,rmse_tau_proxy,delta_tau_minus_v6,mean_rparent_cd,max_abs_rparent_cd,type_bin,inc_bin,distance_quality,tau_proxy_beats_tpg_v6,tau_proxy_beats_mond,tpg_v6_beats_mond,tau_minus_tpg_v6,tau_minus_mond
NGC3769,train,middle,12,11.255312600052,15.980528592617,11.449105630138,0.193793030086,2.312964634636e-18,0.236673998705,mid_T_3_5,inc_high_60_80,4.0,False,True,True,0.19379303008600068,-4.531422962479001
NGC3877,train,middle,13,22.419419150237,23.918754434042,22.65778309425,0.238363944014,-3.202566417188e-18,0.103162958821,mid_T_3_5,inc_high_60_80,4.0,False,True,True,0.23836394401299899,-1.2609713397920004
NGC3893,train,control,10,7.42176157178,6.883534927974,6.870113949593,-0.551647622187,5.551115123126e-18,0.180866533962,mid_T_3_5,inc_mid_40_60,4.0,True,True,False,-0.5516476221870006,-0.013420978381000204
NGC3917,train,control,17,6.899654025228,6.637702160319,6.916149295175,0.016495269947,9.796085511398e-18,0.153132233269,late_T_6_8,inc_high_60_80,4.0,False,False,False,0.01649526994699979,0.27844713485600003
NGC3949,holdout,middle,7,8.950158230684,11.297904622428,8.725813365559,-0.224344865125,-5.947623346206e-18,0.081694827811,mid_T_3_5,inc_mid_40_60,4.0,True,True,True,-0.22434486512499952,-2.5720912568689993
NGC3953,train,middle,8,10.449994650865,10.343662263567,11.270428879079,0.820434228214,1.0408340855860001e-17,0.114537704082,mid_T_3_5,inc_high_60_80,4.0,False,False,False,0.8204342282140011,0.9267666155120011
NGC3972,holdout,middle,10,7.806428086864,6.774747860897,7.726115419076,-0.080312667788,2.498001805407e-17,0.060060477986,mid_T_3_5,inc_high_60_80,4.0,True,False,False,-0.08031266778800017,0.9513675581789993
NGC3992,train,middle,9,21.629914583593,18.539319256727,22.352888510358,0.722973926765,-2.4671622769450002e-17,0.177979273002,mid_T_3_5,inc_mid_40_60,5.0,False,False,False,0.7229739267650004,3.813569253630998
NGC4010,train,middle,12,10.799199499955,11.798351296717,10.767726585066,-0.031472914888,-1.1564823173180001e-17,0.066787219744,late_T_6_8,inc_edge_ge_80,4.0,True,True,True,-0.03147291488899917,-1.030624711650999
NGC4013,holdout,middle,36,12.273912532057,14.334222058319,12.615722412908,0.341809880851,-1.9274705288630003e-17,0.256228686205,mid_T_3_5,inc_edge_ge_80,4.0,False,True,True,0.34180988085099884,-1.7184996454110006
NGC4051,train,candidate,7,23.162699244293,25.364933901874,23.350209276867,0.187510032574,7.930164461608e-18,0.051243072608,mid_T_3_5,inc_mid_40_60,4.0,False,True,True,0.187510032574,-2.0147246250069983
NGC4068,train,middle,6,9.789559083112,11.389697947294,9.745103711147,-0.044455371965,6.9388939039069996e-18,0.11734979902,irregular_T_ge_9,inc_mid_40_60,2.0,True,True,True,-0.04445537196500027,-1.6445942361470003
NGC4085,train,middle,7,21.455208957638,23.247876990413,21.298864960226,-0.156343997411,-1.1895246692410001e-17,0.141362788457,mid_T_3_5,inc_edge_ge_80,4.0,True,True,True,-0.15634399741200156,-1.9490120301870029
NGC4088,holdout,candidate,12,38.98773649866,42.183845816804,39.042323785476,0.054587286816,-1.27213054905e-17,0.191549245039,mid_T_3_5,inc_high_60_80,4.0,False,True,True,0.05458728681600178,-3.1415220313280017
NGC4100,train,middle,24,10.799906207475,9.873831807312,11.572237263171,0.772331055695,6.9388939039069996e-18,0.251801505116,mid_T_3_5,inc_high_60_80,4.0,False,False,False,0.7723310556960001,1.6984054558590014
NGC4138,train,middle,7,9.51519890085,10.185247994853,10.015343556378,0.500144655527,-3.965082230804e-18,0.345574094389,early_T_le_2,inc_mid_40_60,4.0,False,True,True,0.5001446555279987,-0.16990443847500103
NGC4157,train,middle,17,20.216389281228,23.480615178681,19.642214462906,-0.574174818322,-4.081702296416e-18,0.463816815165,mid_T_3_5,inc_edge_ge_80,4.0,True,True,True,-0.5741748183219997,-3.8384007157749984
NGC4183,holdout,control,23,6.489693491114,10.354993594407,6.559077105155,0.06938361404,-3.318601432303e-18,0.246855920642,late_T_6_8,inc_edge_ge_80,4.0,False,True,True,0.06938361404099957,-3.7959164892520008
