u_active_window,K_projection_current_normalized,K_vertical_outer_warp_current_normalized,K_projection_source_sharpened_normalized,K_vertical_outer_warp_source_sharpened_normalized,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
0.91,0.9676780436554566,0.9936876329165883,0.9341203819415291,0.5333210059750437,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.915,0.9710465766783235,0.9949093963260265,0.9408839724043196,0.5257894567443373,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.92,0.9742445206128177,0.9960027103801822,0.9473270787532048,0.5183862590598678,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.925,0.9772690383584667,0.9969665253101717,0.9534405156139983,0.5111170916611637,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.93,0.9801173220220466,0.9977997957988236,0.9592152744251051,0.5039875218964586,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.935,0.9827865945325984,0.998501480946222,0.9646425376948178,0.4970030000813837,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.9400000000000001,0.9852741112755545,0.9990705442355655,0.969713693348575,0.4901688537974966,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.9450000000000001,0.9875771617459812,0.9995059534993445,0.974420349149753,0.48349028213048156,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.9500000000000001,0.9896930712209303,0.9998066808858294,0.9787543471769578,0.4769723498478778,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.9550000000000001,0.9916192024509048,0.9999717028258698,0.9827077783402154,0.47061998151618145,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.96,0.9933529573704382,1.0,0.9862729969178721,0.46443795555717576,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.965,0.9948917788277849,0.9998905573058443,0.9894426350954283,0.4584308982433485,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.97,0.9962331523337234,0.9996423638258252,0.9922096174869554,0.4526032776322575,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.975,0.9973746078294733,0.999254412795167,0.9945671756191656,0.44695939743970187,False,False,mixed_kernel_sharpening_preflight_not_endpoint
