galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
NGC5055,train,28,35.739545327270385,23.304882018533657,29.486670612228213,tau_side_source_normalization_formula_conditional_not_validation,24.725671090263692,11.013874237006693,12.434663308736727,6.2528747150421715,False,False,False
NGC5371,train,19,50.67300302653316,41.66572118681593,44.87169677347413,tau_side_source_normalization_formula_conditional_not_validation,42.30983827749317,8.363164749039989,9.00728183971723,5.801306253059032,False,False,False
NGC5585,train,24,8.709508700759846,7.910184029247681,8.365260361585127,tau_side_source_normalization_formula_conditional_not_validation,33.076707918682025,-24.367199217922177,0.7993246715121654,0.34424833917471886,True,False,False
NGC6015,train,44,12.170669800782326,13.450865436024902,10.82252972156713,tau_side_source_normalization_formula_conditional_not_validation,12.303262315814823,-0.13259251503249736,-1.2801956352425758,1.3481400792151952,True,True,False
NGC6195,train,23,58.37668738039998,31.92603912642373,36.238986538686945,tau_side_source_normalization_formula_conditional_not_validation,32.57217973829187,25.804507642108106,26.450648253976247,22.137700841713034,False,False,False
NGC6503,train,31,5.642089302695609,7.537023161651215,4.239120184630891,tau_side_source_normalization_formula_conditional_not_validation,4.818629778271447,0.8234595244241625,-1.8949338589556053,1.4029691180647186,False,True,False
NGC6674,train,15,23.632570738362528,30.84415865400613,25.376939093620358,tau_side_source_normalization_formula_conditional_not_validation,30.352765171507052,-6.720194433144524,-7.211587915643602,-1.74436835525783,True,True,True
NGC7793,train,46,7.098143247560454,5.722342289485416,6.0568332273601175,tau_side_source_normalization_formula_conditional_not_validation,47.30616276620403,-40.20801951864358,1.3758009580750379,1.0413100202003367,True,False,False
NGC7814,train,18,10.930361400061548,22.076573970785304,20.006224427465735,tau_side_source_normalization_formula_conditional_not_validation,18.43011897778805,-7.499757577726504,-11.146212570723756,-9.075863027404187,True,True,True
PGC51017,train,6,18.817748160568275,18.392706990319713,21.58619332313812,tau_side_source_normalization_formula_conditional_not_validation,19.399159560993834,-0.5814114004255586,0.42504117024856214,-2.7684451625698436,True,False,True
UGC00128,train,22,11.475751845594639,13.983592876820651,11.714529979315056,tau_side_source_normalization_formula_conditional_not_validation,14.604079788637833,-3.1283279430431943,-2.507841031226013,-0.23877813372041778,True,True,True
UGC00191,train,9,8.27784498258083,7.100447637659804,7.3035411506648025,tau_side_source_normalization_formula_conditional_not_validation,6.715513974915614,1.5623310076652155,1.177397344921025,0.9743038319160267,False,False,False
UGC00634,train,4,9.031070992958256,8.17927394861286,2.390542422509193,tau_side_source_normalization_formula_conditional_not_validation,10.32560022897114,-1.2945292360128846,0.8517970443453962,6.640528570449063,True,False,False
UGC01230,train,11,15.39149629619199,15.668391396233122,19.787452508603863,tau_side_source_normalization_formula_conditional_not_validation,15.633114294757826,-0.241617998565836,-0.2768951000411324,-4.395956212411873,True,True,True
UGC01281,train,23,2.556829643488075,2.873653918392883,2.590778492828074,tau_side_source_normalization_formula_conditional_not_validation,2.3746105407048357,0.18221910278323916,-0.31682427490480825,-0.03394884933999931,False,True,True
UGC02455,train,8,48.71375249112594,40.12562667208877,41.15186377794972,tau_side_source_normalization_formula_conditional_not_validation,42.14294798709024,6.570804504035699,8.588125819037167,7.5618887131762165,False,False,False
UGC02487,train,17,43.8138842267308,67.62411171265585,60.82824936276332,tau_side_source_normalization_formula_conditional_not_validation,67.09807605165417,-23.284191824923376,-23.810227485925047,-17.014365136032524,True,True,True
UGC02885,train,19,24.372692194377667,18.30388329245319,15.131131571665343,tau_side_source_normalization_formula_conditional_not_validation,17.998961370423423,6.373730823954244,6.068808901924477,9.241560622712324,False,False,False
UGC02916,train,43,43.134943141899605,27.319935272727097,30.310716706055015,tau_side_source_normalization_formula_conditional_not_validation,27.8605932916766,15.274349850223004,15.815007869172508,12.82422643584459,False,False,False
UGC02953,train,115,21.665903081872337,32.750190465366245,28.930833464990883,tau_side_source_normalization_formula_conditional_not_validation,32.107548457097785,-10.441645375225448,-11.084287383493908,-7.264930383118546,True,True,True
UGC03205,train,48,17.132604353967185,23.038239432266117,20.01236999671605,tau_side_source_normalization_formula_conditional_not_validation,22.347123927901933,-5.214519573934748,-5.905635078298932,-2.8797656427488647,True,True,True
UGC03546,train,30,41.502408001199,31.144679427119854,32.99335102825052,tau_side_source_normalization_formula_conditional_not_validation,31.452096901649615,10.050311099549386,10.357728574079147,8.509056972948478,False,False,False
UGC04278,train,25,9.464088891758392,10.395694298729477,7.617050061219652,tau_side_source_normalization_formula_conditional_not_validation,9.55402604619157,-0.08993715443317818,-0.9316054069710855,1.8470388305387395,True,True,False
UGC04325,train,8,11.675483433384898,17.920667735433767,16.430046998854888,tau_side_source_normalization_formula_conditional_not_validation,15.624506638510129,-3.949023205125231,-6.2451843020488695,-4.75456356546999,True,True,True
UGC04483,train,8,3.1823713837494165,3.798705980303068,5.284251656234046,tau_side_source_normalization_formula_conditional_not_validation,4.733408191914488,-1.5510368081650712,-0.6163345965536515,-2.1018802724846295,True,True,True
