galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
ESO079-G014,train,K_thick_flared,15,12.522654026496923,11.397542407404476,13.728743076990133,12.165498898441484,K_scale_tail_spiral,4,12.634073894667651,11.510182132205381,12.352240668451419,13.728743076990133,1.5632441785486488,1.20608905049321,2.331200669585657,False,False,False
ESO444-G084,train,K_scale_tail_spiral,7,13.917114692092932,10.513209179623457,12.024781014539533,14.41574705909234,K_scale_tail_spiral,1,13.078619993375774,12.024781014539533,13.640634265377596,16.527986918523652,-2.3909660445528065,-1.892333677553399,1.5115718349160758,True,True,False
ESO563-G021,train,K_thick_flared,30,47.72714916375959,44.48667176928297,49.54455541454878,46.909633680108435,K_scale_tail_spiral,4,47.010105956975934,46.27220740347494,47.44658767987441,49.54455541454878,2.634921734440347,1.8174062507891904,5.057883645265811,False,False,False
F563-V1,train,K_scale_tail_spiral,6,23.66949222725619,29.338957960123544,25.505968146302614,23.35835981150493,K_thick_flared,4,24.921684603725577,25.505968146302614,24.015648412940482,21.137746417848735,2.1476083347976846,1.8364759190464248,-3.83298981382093,False,False,True
F563-V2,train,K_scale_tail_spiral,10,26.238947803350438,23.428832485173935,24.599408672819347,26.519469389744188,K_scale_tail_spiral,1,25.15325767109449,24.599408672819347,25.966000749021337,28.439149749116737,-1.9200607169248407,-1.639539130531091,1.1705761876454126,True,True,False
F565-V2,train,K_scale_tail_spiral,7,11.960771688430881,6.916649069723871,10.169365491481225,12.43130517742055,K_scale_tail_spiral,1,11.139144198806852,10.169365491481225,11.633686414417756,14.521084919037042,-2.261939685939325,-1.7914061969496569,3.252716421757354,True,True,False
F567-2,train,K_scale_tail_spiral,5,14.016635993218337,19.406231954265397,15.47231269032608,13.879010481661789,K_thick_flared,4,14.976822045725408,15.47231269032608,14.294678116565256,12.3655312826947,1.5933022086642907,1.4556766971077426,-3.933919263939318,False,False,True
F568-3,train,K_exponential_disk,18,9.11490703879206,7.976415983117765,8.926301126284182,9.280261312688546,K_scale_tail_spiral,2,9.154003377627514,8.206354101900512,8.926301126284182,10.480426458537613,-0.35396018640436466,-0.18860591250787806,0.9498851431664166,True,True,False
F568-V1,train,K_exponential_disk,15,29.877210479611758,25.762065140172663,29.543764514210356,29.660329851173056,K_scale_tail_spiral,3,28.604425001277285,28.264372876547657,29.543764514210356,32.11219167569422,-0.11656533696270088,-0.3334459654014026,3.781699374037693,True,True,False
F571-8,train,K_thick_flared,13,30.175376192122503,28.290592925853005,30.40354500011903,30.374045989615183,K_scale_tail_spiral,3,31.283315072275744,29.664753558142394,30.174069338427422,30.40354500011903,0.029499010503847956,0.2281688079965285,2.112952074266026,False,False,False
F571-V1,train,K_scale_tail_spiral,7,3.5735232878164758,6.360130039546406,3.4999898413490382,4.276792892677782,K_scale_tail_spiral,1,4.520272471840293,3.4999898413490382,3.5111778221733116,4.7989283840197405,-0.7768030513287436,-0.07353344646743754,-2.8601401981973678,True,True,True
F574-1,train,K_exponential_disk,14,11.820788616096635,8.776912560877792,11.51008629120212,11.721926058674,K_scale_tail_spiral,3,10.893571892390552,10.460134704373052,11.51008629120212,13.812071579258397,-0.21183976747188105,-0.31070232489451577,2.733173730324328,True,True,False
F574-2,train,K_scale_tail_spiral,5,32.6388165436646,38.74115873241575,34.34965622796968,32.43558859104757,K_thick_flared,4,33.91562964581511,34.34965622796968,32.990388669177214,30.40074745815038,1.9140676369221126,1.7108396843050784,-4.391502504446066,False,False,True
F579-V1,train,K_thick_flared,14,19.63941142103888,18.38890176475787,21.423696553703962,18.61588421216104,K_compact_finite,4,17.81006600892396,18.657744830874712,19.37984179668444,21.423696553703962,2.807812341542924,1.784285132665083,3.034794788946094,False,False,False
F583-1,train,K_scale_tail_spiral,25,13.297286773674033,10.320140273858495,12.052058336691273,13.60347057440535,K_scale_tail_spiral,1,12.741484727544927,12.052058336691273,13.029643843384092,15.03928315228703,-1.5514122377140769,-1.2452284369827602,1.7319180628327775,True,True,False
