galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
F579-V1,train,K_thick_flared,14,12.174937206772878,42.07303643290618,55.68314744072652,19.63941142103888,18.38890176475787,-29.8980992261333,-43.50821023395365,-7.464474214266001,-6.2139645579849905,82.08394736804718,28.539284621333795,15.595877309337562,12.174937206772878
F583-1,train,K_scale_tail_spiral,25,9.2553001847643,60.65762916370333,37.88119838848093,13.297286773674033,10.320140273858495,-51.402328978939025,-28.62589820371663,-4.041986588909733,-1.0648400890941954,150.47476100711054,9.2553001847643,15.05510463341939,16.443021850580053
F583-4,train,K_thick_flared,12,22.623050957743455,57.9850827973085,28.256036139451535,2.089348476842753,5.381087823103697,-35.36203183956505,-5.632985181708079,20.5337024809007,17.241963134639757,153.50277334715673,4.760754753870098,15.691720290898676,22.623050957743455
KK98-251,train,K_scale_tail_spiral,15,30.23627150327517,125.18302723405725,9.24231819672141,8.181219377823203,10.870651981388162,-94.94675573078209,20.99395330655376,22.055052125451965,19.365619521887005,344.7375717277557,30.23627150327517,15.041413540705195,15.770096433710842
NGC0055,train,K_scale_tail_spiral,21,6.270319921416768,45.89264035535476,30.10483924708385,13.646013162608714,17.518196226309797,-39.622320433937986,-23.83451932566708,-7.375693241191946,-11.24787630489303,95.29320934016918,6.270319921416768,19.635987306045077,22.748724419850003
NGC0100,train,K_exponential_disk,21,9.929173496875363,49.5608947656655,37.32423045477865,7.537919334963079,6.061732881040405,-39.63172126879014,-27.395056957903286,2.3912541619122836,3.8674406158349575,126.6585856887903,8.858887589824137,9.929173496875363,13.165211018382069
NGC0247,train,K_exponential_disk,26,11.567442645778174,37.88250610921564,44.33874452179441,3.866312004062215,5.475417572666649,-26.31506346343747,-32.77130187601624,7.701130641715959,6.092025073111524,78.57149937343124,17.69386207976071,11.567442645778174,17.38215687445498
NGC0289,train,K_thick_flared,28,39.217375909374454,42.54146082207907,72.05791283517864,13.44827134683854,23.595309185371484,-3.3240849127046133,-32.84053692580419,25.769104562535915,15.62206672400297,45.85357221763789,56.170020597412176,25.60078965118712,39.217375909374454
NGC0300,train,K_exponential_disk,25,5.137249039090248,41.906208724549735,46.47895971603302,9.83189803567648,5.607034629923943,-36.768959685459485,-41.34171067694277,-4.694648996586231,-0.46978559083369476,97.95689330197273,17.557985274514,5.137249039090248,10.203747597162474
NGC0801,train,K_thick_flared,13,21.219229088136892,33.2268652809101,53.955412557620825,31.348134413644825,35.306528941160416,-12.007636192773205,-32.73618346948393,-10.128905325507933,-14.087299853023524,36.03106670335431,41.29415917900306,22.35536996037292,21.219229088136892
NGC0891,train,K_compact_finite,18,25.743797834121974,30.186722838776095,42.48873191442031,29.637636010909365,32.67571266789567,-4.442925004654121,-16.74493408029834,-3.8938381767873906,-6.931914833773693,25.743797834121974,35.03395845867111,28.291683640596876,27.234526417060305
NGC1003,train,K_scale_tail_spiral,36,32.01340293424434,28.35272911465147,57.05520264141121,11.228797331872782,8.233924992844548,3.660673819592869,-25.041799707166874,20.784605602371556,23.77947794139979,25.727630751694054,32.01340293424434,24.91178894365881,34.41876764860156
NGC1090,train,K_thick_flared,24,18.314960563068656,21.559435784240776,53.94427875610075,15.259685358845738,18.764009439287914,-3.24447522117212,-35.62931819303209,3.0552752042229177,-0.4490488762192584,16.540014189080505,38.937936545538285,9.200356618103545,18.314960563068656
NGC1705,train,K_scale_tail_spiral,14,14.66634009604746,67.85797906370267,44.86883854026655,20.59864390810048,16.95201559286103,-53.19163896765521,-30.202498444219092,-5.932303812053021,-2.285675496813571,177.6267095688585,14.66634009604746,14.220084506217647,11.727143116031861
NGC2366,train,K_scale_tail_spiral,26,11.144604520399254,75.76260962802061,18.91729119521532,8.175530891777854,11.387781875806942,-64.61800510762136,-7.772686674816066,2.9690736286214,-0.24317735540768837,200.86020440763522,11.144604520399254,11.878489042355964,14.54913543407065
NGC2403,train,K_exponential_disk,73,34.885471738005265,51.023935020379035,50.70104801512085,9.860995949284607,6.239762201686606,-16.13846328237377,-15.815576277115582,25.024475788720657,28.64570953631866,98.61172878175633,22.78275987093706,34.885471738005265,31.677316408443712
NGC2841,train,K_compact_finite,50,108.01539051286937,101.21155767830125,130.51149487715648,59.09007494417434,53.02346081870857,6.8038328345681265,-22.496104364287106,48.925315568695034,54.9919296941608,108.01539051286937,114.90139774085698,97.84449085735334,90.88878443669346
NGC2903,train,K_thick_flared,34,29.919461826308897,36.595632035241586,60.520087188359796,24.362146162225375,24.96300377208502,-6.676170208932689,-30.6006253620509,5.5573156640835215,4.9564580542238765,28.28085745657572,46.544872036503484,34.961166612645556,29.919461826308897
NGC2915,train,K_scale_tail_spiral,30,21.923363280852666,45.034577539836086,53.35994986959267,26.00786566771677,20.629433034344654,-23.11121425898342,-31.436586588740003,-4.084502386864106,1.2939302465080118,116.80855357971201,21.923363280852666,10.204194140448775,8.090984899347486
