Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
PGC050229,384.54,785.32,152.5,0.358,56,63,ok,S4G,Simbad,NED,3,,13.26,0.549,151.88,2.48,13.49,211.2968,-3.36986
PGC051291,374.73,790.53,112.9,0.534,33,37,ok,S4G,Simbad,NED,3,,14.61,0.322,105.85,1.998,21.93,215.34282,-3.75883
PGC051523,379.27,788.71,101.7,0.417,41,47,ok,S4G,Simbad,NED,1,,14.05,0.333,101.15,1.067,18.68,216.43912,-5.40197
PGC052336,,,,,,,,S4G,Simbad,NED,0,No fit,,,,,,219.69167,51.31722
PGC052460,278.4,794.26,155.3,0.308,30,52,ok,S4G,Simbad,NED,2,,13.4,0.765,155.08,1.416,13.12,220.27669,-8.87522
PGC052809,271.15,796.99,169.2,0.869,37,67,z,S4G,Simbad,NED,2,,11.79,0.122,169.38,2.907,49.27,221.85071,-17.44557
PGC052853,269.07,796.8,121.7,0.269,60,67,ok,S4G,Simbad,NED,1,,12.92,0.804,126.72,1.021,28.16,221.98329,-14.28253
PGC052935,535.42,390.61,135.9,0.815,60,67,u,S4G,Simbad,NED,0,Fit uncertain,13.5,0.397,137.66,1.663,76.48,222.38625,-10.16306
PGC052940,587.32,355.81,161.2,0.474,52,67,u,S4G,Simbad,NED,0,Fit uncertain,13.26,0.317,155.99,1.706,43.36,222.37742,-10.17331
PGC053093,274.35,797.39,103.4,0.423,30,48,ok,S4G,Simbad,NED,3,,12.58,0.661,92.35,1.605,9.55,223.04321,-10.7404
PGC053134,325.06,788.66,56.5,0.241,78,90,ok,S4G,Simbad,NED,2,,12.87,0.526,112.04,3.237,71.72,223.14499,-3.56153
PGC053415,267.67,798.82,47.3,0.474,37,45,ok,S4G,Simbad,NED,2,,13.07,0.407,49.56,0.944,7.3,224.16093,-16.48786
PGC053568,280.61,792.66,79.2,0.549,30,33,ok,S4G,Simbad,NED,2,,14.72,0.411,80.62,1.449,32.8,224.92,-6.99028
PGC053634,396.35,792.53,128.4,0.743,60,71,ok,S4G,Simbad,NED,2,,14.27,0.308,126.39,2.024,34.67,225.25,-15.12167
PGC053724,266.37,797.79,150.0,0.619,11,18,ok,S4G,Simbad,NED,2,,12.19,0.301,149.75,5.11,8.76,225.75087,-13.28266
PGC053764,269.31,799.61,23.5,0.81,33,45,ok,S4G,Simbad,NED,1,,14.71,0.185,23.93,1.158,21.9,226.01083,-10.73806
PGC053779,272.69,796.34,98.1,0.333,45,75,ok,S4G,Simbad,NED,3,,13.05,0.639,83.4,0.905,21.23,226.05625,-7.22278
PGC053796,386.68,792.21,164.5,0.815,37,52,z,S4G,Simbad,NED,2,,14.24,0.206,165.5,2.106,34.73,226.11308,-14.43986
PGC054817,275.39,796.47,7.8,0.715,37,75,u,S4G,Simbad,NED,0,Fit uncertain,13.43,0.375,7.25,1.855,16.57,230.38907,-7.44768
PGC054944,274.15,797.35,20.7,0.311,41,52,ok,S4G,Simbad,NED,2,,12.54,0.528,27.4,0.938,20.42,230.83389,-4.1516
PGC065367,410.96,787.98,79.6,0.255,71,86,u,S4G,Simbad,NED,1,,14.33,0.571,97.43,1.147,74.62,311.71583,-12.84806
PGC066242,381.31,777.28,41.1,0.537,33,45,ok,S4G,Simbad,NED,2,,13.85,0.462,37.3,1.344,27.92,317.52167,-3.70139
PGC066559,408.43,785.68,39.1,0.27,37,45,u,S4G,Simbad,NED,2,,14.17,0.672,172.82,1.4,25.89,319.92929,-7.55346
PGC066738,386.21,787.85,31.5,0.835,15,30,z,S4G,Simbad,NED,2,,14.91,0.142,31.64,1.21,23.55,321.49917,-3.80986
PGC067871,493.6,779.69,147.2,0.344,26,30,ok,S4G,Simbad,NED,2,,13.67,0.915,21.54,2.747,53.13,330.4967,-12.19061
PGC068030,503.69,773.05,120.6,0.768,15,26,z,S4G,Simbad,NED,1,,14.76,0.167,120.52,1.209,13.5,331.59631,-15.41616
PGC068061,598.47,747.32,82.5,0.835,15,22,u,S4G,Simbad,NED,0,Fit uncertain,13.25,0.174,83.76,1.541,13.9,331.73042,-31.05306
PGC068771,476.96,779.46,47.8,0.145,60,71,ok,S4G,Simbad,NED,2,,13.53,0.779,32.51,2.207,43.32,336.0481,-3.48341
PGC069114,537.51,769.81,131.8,0.698,37,46,ok,S4G,Simbad,NED,1,,15.12,0.392,129.42,1.5,20.94,338.19492,-14.09711
PGC069224,476.74,775.71,98.8,0.548,45,50,u,S4G,Simbad,NED,1,,14.49,0.403,98.53,1.434,51.9,338.72792,-4.70167
PGC069293,496.86,785.04,140.9,0.102,67,75,ok,S4G,Simbad,NED,1,,12.96,0.76,133.17,1.056,46.26,339.14629,-2.90681
